"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"SPRIN-1","Epic","","Set up JIRA project and define milestones
","Completed","ScrumMaster","","2024/10/14","2024/10/14","2024/10/17","2024/10/17","dark_grey"
"SPRIN-7","Story","SPRIN-1","Developing a flexible payment system that supports various payment methods (Example: credit cards, debit cards and digital wallets).","Completed","ScrumMaster","","2024/10/14","2024/10/14","2024/10/14","2024/10/14","purple"
"SPRIN-8","Story","SPRIN-1","Implementing efficient transaction processing capabilities to handle daily payment volumes and ensure timely settlements","Completed","ScrumMaster","","2024/10/15","2024/10/15","2024/10/15","2024/10/15","purple"
"SPRIN-9","Story","SPRIN-1","Implement the strong authentication methods (Example: Multi-factor authentication and using of Biometrics) to protect user accounts from unauthorized access.","Completed","ScrumMaster","","2024/10/16","2024/10/16","2024/10/16","2024/10/16","purple"
"SPRIN-10","Story","SPRIN-1"," Thoroughly testing the integrated systems to ensure they work seamlessly together and meet performance requirements. Design the system to handle future growth and increasing transaction volumes.","Completed","ScrumMaster","","2024/10/17","2024/10/17","2024/10/17","2024/10/17","purple"
"SPRIN-2","Epic","","Create user stories for user authentication.","Completed","productOwner","","2024/10/18","2024/10/18","2024/10/21","2024/10/21","dark_green"
"SPRIN-11","Story","SPRIN-2","Registration of the user and creating the account","Completed","productOwner","","2024/10/18","2024/10/18","2024/10/18","2024/10/18","purple"
"SPRIN-12","Story","SPRIN-2","Login with mobile number and email address. Addressing a device to be trusted and managing the devices:","Completed","productOwner","","2024/10/19","2024/10/19","2024/10/19","2024/10/19","purple"
"SPRIN-13","Story","SPRIN-2","Enabling and disabling the Two factor authentication and Biometrics authentication","Completed","productOwner","","2024/10/19","2024/10/19","2024/10/19","2024/10/19","purple"
"SPRIN-14","Story","SPRIN-2","Session Management","Completed","productOwner","","2024/10/20","2024/10/20","2024/10/20","2024/10/20","purple"
"SPRIN-15","Story","SPRIN-2","Password, pin recovery and edit request. User account lockout scenario","Completed","productOwner","","2024/10/21","2024/10/21","2024/10/21","2024/10/21","purple"
"SPRIN-16","Story","SPRIN-2","Login and log out history. Password, Account recovery and edition history.","Completed","productOwner","","2024/10/21","2024/10/21","2024/10/21","2024/10/21","purple"
"SPRIN-3","Epic","","Design and develop front-end login page
","In Progress","Front-EndDeveloper","","2024/10/23","2024/10/23","2024/10/28","2024/10/28","dark_teal"
"SPRIN-17","Story","SPRIN-3","Creating of user-friendly application ","In Progress","Front-EndDeveloper","","2024/10/23","2024/10/23","2024/10/23","2024/10/23","purple"
"SPRIN-18","Story","SPRIN-3","Implementation of Robust security measures and Zero Trust security option.","In Progress","Front-EndDeveloper","","2024/10/24","2024/10/24","2024/10/24","2024/10/24","purple"
"SPRIN-19","Story","SPRIN-3","Responsiveness of the application page","In Progress","Front-EndDeveloper","","2024/10/24","2024/10/24","2024/10/24","2024/10/24","purple"
"SPRIN-20","Story","SPRIN-3","Designing of the application software","In Progress","Front-EndDeveloper","","2024/10/25","2024/10/25","2024/10/25","2024/10/25","purple"
"SPRIN-21","Story","SPRIN-3","Development Phase","In Progress","Front-EndDeveloper","","2024/10/26","2024/10/26","2024/10/27","2024/10/27","purple"
"SPRIN-22","Story","SPRIN-3","Security features","In Progress","Front-EndDeveloper","","2024/10/28","2024/10/28","2024/10/28","2024/10/28","purple"
"SPRIN-23","Story","SPRIN-3","Two factor Authentication","In Progress","Front-EndDeveloper","","2024/10/28","2024/10/28","2024/10/28","2024/10/28","purple"
"SPRIN-24","Story","SPRIN-3","Biometric authentication","In Progress","Front-EndDeveloper","","2024/10/28","2024/10/28","2024/10/28","2024/10/28","purple"
"SPRIN-4","Epic","","Implement backend authentication with OAuth","In Progress","Back-EndDeveloper","","2024/10/29","2024/10/29","2024/11/04","2024/11/04","dark_yellow"
"SPRIN-25","Story","SPRIN-4","Configuring the application software with the Open Authorization","In Progress","Back-EndDeveloper","","2024/10/29","2024/10/29","2024/10/30","2024/10/30","purple"
"SPRIN-26","Story","SPRIN-4","Integration of the Oauth provider library and setting up of Oath in the backend of the application","In Progress","Back-EndDeveloper","","2024/10/29","2024/10/29","2024/10/30","2024/10/30","purple"
"SPRIN-27","Story","SPRIN-4","Creating of Oauth Authorization Flow","In Progress","Back-EndDeveloper","","2024/10/31","2024/10/31","2024/10/31","2024/10/31","purple"
"SPRIN-28","Story","SPRIN-4","Storing of the provider’s access token","In Progress","Back-EndDeveloper","","2024/10/31","2024/10/31","2024/10/31","2024/10/31","purple"
"SPRIN-29","Story","SPRIN-4","Mechanism Implementation to refresh the access token","In Progress","Back-EndDeveloper","","2024/10/31","2024/10/31","2024/10/31","2024/10/31","purple"
"SPRIN-30","Story","SPRIN-4","Implementation of Error handling","In Progress","Back-EndDeveloper","","2024/11/01","2024/11/01","2024/11/01","2024/11/01","purple"
"SPRIN-31","Story","SPRIN-4","Email, phone number, third-party account password and Biometrics authentication","In Progress","Back-EndDeveloper","","2024/11/02","2024/11/02","2024/11/02","2024/11/02","purple"
"SPRIN-32","Story","SPRIN-4","Integration of the payment gateway","In Progress","Back-EndDeveloper","","2024/11/02","2024/11/02","2024/11/02","2024/11/02","purple"
"SPRIN-33","Story","SPRIN-4","Transaction history","In Progress","Back-EndDeveloper","","2024/11/03","2024/11/03","2024/11/03","2024/11/03","purple"
"SPRIN-34","Story","SPRIN-4","Security features","In Progress","Back-EndDeveloper","","2024/11/03","2024/11/03","2024/11/03","2024/11/03","purple"
"SPRIN-35","Story","SPRIN-4","Error handling for any transaction","In Progress","Back-EndDeveloper","","2024/11/04","2024/11/04","2024/11/04","2024/11/04","purple"
